Repo,MergeCommit,File,Diff3_Conflict,CSDiff_Conflict,CSDiff_Equals_Manual,Diff3_ParseOK,CSDiff_ParseOK,Manual_ParseOK
pandoc,4c103f6,src/Text/Pandoc/Writers/LaTeX.hs,1,0,False,False,True,True
pandoc,244cd56,src/Text/Pandoc/Writers/EPUB.hs,1,0,False,False,True,True
pandoc,244cd56,src/Text/Pandoc/Writers/Haddock.hs,1,0,False,False,True,True
pandoc,6a3a04c,benchmark/benchmark-pandoc.hs,1,0,False,False,True,True
pandoc,bd7cf8d,src/Text/Pandoc/Writers/Texinfo.hs,1,0,False,False,True,True
pandoc,f70e3c3,src/Text/Pandoc/Writers/Docx.hs,1,0,True,False,True,True
cabal,9985a2c,Cabal/src/Distribution/Simple/Setup/Repl.hs,2,0,True,False,True,True
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectOrchestration.hs,2,0,False,False,False,False
cabal,6f19128,cabal-install/Distribution/Client/CmdClean.hs,1,0,False,False,True,True
cabal,7b873dc,cabal-install/Distribution/Client/DistDirLayout.hs,1,0,False,False,False,False
cabal,f3cacff,cabal-install/Distribution/Client/ProjectPlanning.hs,1,0,True,False,True,True
cabal,b57f9bd,cabal-install/Distribution/Client/ProjectOrchestration.hs,2,0,True,False,True,True
cabal,b57f9bd,cabal-install/Distribution/Client/ProjectPlanning/Types.hs,3,0,True,False,True,True
cabal,6e4ff94,cabal-install/Distribution/Client/Dependency/Modular/Solver.hs,1,0,False,False,True,True
cabal,47cc3de,cabal-install/Distribution/Client/Install.hs,1,0,False,False,True,True
cabal,2c22c0e,cabal-install/Distribution/Client/Dependency/Modular/Flag.hs,1,0,True,False,True,True
cabal,8ad417a,cabal-install/Distribution/Client/Install.hs,2,0,True,False,True,True
cabal,9a39df3,Cabal/tests/PackageTests.hs,1,0,True,False,True,True
cabal,bdc9997,Cabal/tests/PackageTests/PackageTester.hs,1,0,True,False,True,True
stack,802afc1,src/Stack/Build/ConstructPlan.hs,1,0,True,False,True,True
stack,b0f87cb,src/Stack/Build/ExecutePackage.hs,1,0,True,False,True,True
stack,b0f87cb,src/Stack/Types/Build.hs,1,0,True,False,True,True
stack,8ce1b19,src/Stack/Build/ExecutePackage.hs,1,0,True,False,True,True
stack,6d2e8bd,src/Stack/Build/ExecutePackage.hs,1,0,True,False,True,True
stack,3f309e5,src/Path/Extra.hs,1,0,True,False,True,True
stack,9af04b9,subs/curator/app/Main.hs,1,0,True,False,True,True
stack,cc1929a,src/Stack/Types/Compiler.hs,1,0,False,False,True,True
stack,cc1929a,src/main/Main.hs,1,0,True,False,True,True
stack,3bfb4aa,src/main/Main.hs,1,0,False,False,True,True
stack,19ca481,src/Stack/Build/ConstructPlan.hs,4,0,True,False,True,True
stack,cfbcc26,subs/pantry/src/Pantry/Types.hs,1,0,True,False,True,True
stack,4edfa43,test/integration/tests/cabal-solver/Main.hs,1,0,True,False,True,True
stack,b920393,src/test/Stack/ConfigSpec.hs,1,0,True,False,True,True
stack,b920393,src/test/Stack/NixSpec.hs,1,0,True,False,True,True
stack,cfb96c2,src/Stack/Types/Runner.hs,1,0,True,False,True,True
stack,cfb96c2,src/test/Stack/ConfigSpec.hs,1,0,True,False,True,True
stack,cfb96c2,src/test/Stack/NixSpec.hs,1,0,True,False,True,True
stack,3fb0976,subs/pantry/src/Pantry.hs,1,0,True,False,True,True
stack,519a06a,src/test/Stack/StoreSpec.hs,1,0,False,False,True,True
stack,3efa406,src/Stack/Types/NamedComponent.hs,2,0,True,False,True,True
stack,755fed1,src/Stack/Types/NamedComponent.hs,1,0,False,False,True,True
stack,1f3cc1f,src/Stack/Package.hs,2,0,True,False,True,True
stack,f27eb40,src/Stack/Config.hs,1,0,True,False,True,True
stack,1ee92a2,src/System/Process/PagerEditor.hs,1,0,True,False,True,True
stack,fa878f9,src/Stack/Build.hs,1,0,False,False,True,True
stack,87068d8,src/Stack/Build/Source.hs,1,0,False,False,True,True
stack,85e75d2,src/Stack/Nix.hs,1,0,True,False,True,True
stack,9a6f7c9,src/Stack/Docker.hs,1,0,True,False,True,True
stack,cfe51ad,src/Stack/Types/Config.hs,1,0,True,False,True,True
stack,e41e252,src/Stack/Init.hs,1,0,True,False,True,True
stack,d1279e5,src/Stack/Types/Config.hs,2,0,True,False,True,True
stack,58ce1d3,src/Stack/Types/Config.hs,1,0,False,False,True,True
stack,490cf26,src/main/Main.hs,1,0,True,False,True,True
stack,410e1e2,src/main/Main.hs,1,0,False,False,True,True
stack,9b7875b,src/main/Main.hs,1,0,True,False,True,True
